SatID,OpportunityStartTime,OpportunityEndTime,StripID,AoiID,OpportunityStartOffset,OpportunityEndOffset,CloudCover,OffNadir,Priority,OrderValidityStart,OrderValidityEnd,CloudCoverLimit,OffNadirLimit,Eclipse,SunInView,MoonInView
0,2024-07-01 15:06:18,2024-07-01 15:06:32,388,74,32778.421351682475,32792.88410198944,19,22,2,2024-06-21 04:29:01,2024-07-09 06:55:14,10,20,0,0,0
1,2024-07-01 08:58:56,2024-07-01 08:59:14,352,196,10736.129037916147,10754.5421598509,69,18,4,2024-06-16 07:25:55,2024-07-02 22:27:36,20,20,0,0,0
4,2024-07-01 09:59:34,2024-07-01 10:00:39,328,20,14374.150976486937,14439.124905314511,47,23,5,2024-06-20 15:42:20,2024-07-10 02:34:20,20,20,1,0,0
3,2024-07-01 06:23:27,2024-07-01 06:23:57,281,65,1407.7464417214628,1437.3604547078469,27,2,4,2024-06-19 07:49:46,2024-07-07 08:04:42,10,20,0,0,0
0,2024-07-01 06:26:51,2024-07-01 06:27:30,349,158,1611.7140520010785,1650.7273016232984,34,2,2,2024-06-18 17:11:00,2024-07-06 07:32:14,20,10,0,0,1
5,2024-07-01 16:37:14,2024-07-01 16:37:23,228,146,38234.37692960324,38243.27257692815,27,22,2,2024-06-17 02:56:02,2024-07-05 00:54:14,20,20,0,0,0
4,2024-07-01 15:53:36,2024-07-01 15:54:20,212,66,35616.00194146101,35660.87653624293,14,22,1,2024-06-18 06:46:06,2024-07-05 10:18:28,20,20,0,0,0
1,2024-07-01 07:04:56,2024-07-01 07:05:26,174,179,3896.856318276371,3926.0734268250567,9,19,5,2024-06-18 04:44:42,2024-07-06 04:29:13,20,10,1,0,0
2,2024-07-01 10:22:42,2024-07-01 10:23:03,425,51,15762.167064971309,15783.502789279504,4,6,1,2024-06-17 21:42:28,2024-07-05 21:57:07,20,20,1,0,1
5,2024-07-01 11:13:30,2024-07-01 11:14:04,301,130,18810.846449566583,18844.80954916774,38,23,2,2024-06-19 00:57:43,2024-07-06 02:47:34,20,20,0,0,0
2,2024-07-01 07:39:00,2024-07-01 07:40:05,222,50,5940.190410767287,6005.68400808253,19,2,4,2024-06-19 21:15:32,2024-07-06 15:03:12,20,20,1,0,0
1,2024-07-01 11:09:13,2024-07-01 11:09:23,140,1,18553.57799920801,18563.80032999623,14,5,5,2024-06-20 13:34:15,2024-07-09 15:58:48,10,20,0,0,1
5,2024-07-01 11:54:19,2024-07-01 11:54:48,468,34,21259.097618178483,21288.01480970932,49,14,5,2024-06-17 14:53:06,2024-07-07 07:39:11,20,10,0,0,0
5,2024-07-01 08:20:26,2024-07-01 08:21:28,14,166,8426.13234398549,8488.548240859885,17,3,3,2024-06-19 15:04:12,2024-07-09 02:02:16,10,20,1,0,0
3,2024-07-01 13:44:13,2024-07-01 13:44:47,428,171,27853.19720189281,27887.695749588427,17,7,1,2024-06-17 11:37:00,2024-07-05 06:10:35,10,20,1,0,0
2,2024-07-01 09:21:43,2024-07-01 09:22:44,176,194,12103.002724311942,12164.951333380923,0,18,5,2024-06-18 01:05:39,2024-07-05 20:53:40,10,20,1,0,0
5,2024-07-01 16:42:29,2024-07-01 16:42:52,231,126,38549.35302074929,38572.388215522136,28,10,5,2024-06-18 08:35:34,2024-07-06 01:20:46,20,20,1,0,0
3,2024-07-01 14:13:02,2024-07-01 14:14:07,483,121,29582.155269935425,29647.196642903942,3,0,2,2024-06-20 20:37:27,2024-07-10 10:34:20,20,20,0,0,0
0,2024-07-01 14:38:13,2024-07-01 14:38:38,100,165,31093.69383039419,31118.571627352012,20,4,3,2024-06-18 12:15:23,2024-07-07 04:29:05,10,20,1,0,1
0,2024-07-01 17:01:39,2024-07-01 17:02:39,170,177,39699.94840441922,39759.35268007728,24,14,2,2024-06-20 00:42:51,2024-07-09 20:53:39,20,20,1,0,0
5,2024-07-01 08:32:26,2024-07-01 08:33:23,332,41,9146.321609167266,9203.33339109612,69,0,4,2024-06-17 15:52:17,2024-07-07 03:59:31,20,10,0,0,1
4,2024-07-01 08:02:13,2024-07-01 08:02:30,77,57,7333.506844369703,7350.267824098026,44,16,5,2024-06-20 10:44:57,2024-07-08 20:34:05,20,10,0,0,0
1,2024-07-01 06:45:50,2024-07-01 06:46:09,112,176,2750.0612032994586,2769.9017705549923,9,16,3,2024-06-20 10:30:56,2024-07-09 13:23:49,10,10,1,0,1
2,2024-07-01 07:58:38,2024-07-01 07:58:59,17,9,7118.381721552723,7139.251239794848,28,5,4,2024-06-17 12:23:43,2024-07-06 07:16:39,20,10,1,0,0
