SatID,OpportunityStartTime,OpportunityEndTime,StripID,AoiID,OpportunityStartOffset,OpportunityEndOffset,CloudCover,OffNadir,Priority,OrderValidityStart,OrderValidityEnd,CloudCoverLimit,OffNadirLimit,Eclipse,SunInView,MoonInView
3,2024-07-01 11:06:59,2024-07-01 11:07:48,223,60,18419.889584085562,18468.092545294458,44,9,5,2024-06-17 09:56:52,2024-07-06 17:03:16,20,20,0,0,0
1,2024-07-01 15:34:25,2024-07-01 15:35:02,372,100,34465.30591651509,34502.445090915164,76,0,3,2024-06-16 07:49:04,2024-07-02 10:00:41,10,20,0,0,0
4,2024-07-01 10:30:44,2024-07-01 10:31:53,492,105,16244.337584928935,16313.479986749198,7,3,2,2024-06-16 08:00:50,2024-07-04 01:03:46,20,10,1,0,0
0,2024-07-01 10:06:14,2024-07-01 10:06:46,323,91,14774.298123338784,14806.60760441206,22,18,1,2024-06-18 12:52:45,2024-07-05 18:49:51,20,20,0,0,0
5,2024-07-01 11:33:54,2024-07-01 11:34:09,180,122,20034.917723006318,20049.0454133326,24,8,2,2024-06-18 09:12:52,2024-07-05 02:03:34,20,20,0,0,0
2,2024-07-01 08:33:33,2024-07-01 08:33:48,209,128,9213.664778481289,9228.093981511165,35,7,4,2024-06-17 05:28:57,2024-07-03 16:40:52,20,20,0,0,0
5,2024-07-01 14:11:13,2024-07-01 14:12:22,56,149,29473.95992834296,29542.02660418556,2,20,5,2024-06-19 07:10:10,2024-07-07 22:45:09,20,20,0,0,0
1,2024-07-01 15:49:15,2024-07-01 15:49:45,449,124,35355.75711774824,35385.35318716077,5,13,2,2024-06-17 02:19:08,2024-07-03 12:41:56,10,10,0,0,1
3,2024-07-01 07:27:39,2024-07-01 07:28:09,58,47,5259.698254742874,5289.85688806249,8,9,2,2024-06-17 20:42:33,2024-07-07 19:16:27,20,20,0,0,0
5,2024-07-01 10:39:03,2024-07-01 10:39:56,25,152,16743.672087065228,16796.754635464702,2,24,3,2024-06-20 14:20:01,2024-07-09 08:57:03,20,20,0,0,0
1,2024-07-01 15:25:26,2024-07-01 15:26:06,411,163,33926.13459985027,33966.73393407858,30,21,1,2024-06-21 03:19:37,2024-07-08 19:58:18,10,20,0,0,0
5,2024-07-01 09:38:56,2024-07-01 09:39:49,272,57,13136.44574935843,13189.899787598553,10,15,3,2024-06-17 10:30:20,2024-07-05 08:33:26,10,10,0,1,0
1,2024-07-01 13:11:53,2024-07-01 13:13:00,44,191,25913.57549796823,25980.282560976357,96,24,4,2024-06-20 19:29:48,2024-07-06 23:10:48,20,10,1,0,1
4,2024-07-01 14:04:05,2024-07-01 14:04:11,137,17,29045.881366903588,29051.575026330527,92,9,1,2024-06-20 03:43:50,2024-07-08 13:48:08,10,20,0,0,0
5,2024-07-01 17:56:00,2024-07-01 17:56:40,448,43,42960.10026025873,43000.8659129009,15,9,4,2024-06-16 20:41:28,2024-07-03 05:00:13,20,20,1,0,0
0,2024-07-01 13:40:12,2024-07-01 13:40:27,392,98,27612.048673075577,27627.134563006304,26,8,5,2024-06-19 11:02:49,2024-07-09 07:36:34,10,20,0,0,0
2,2024-07-01 10:54:17,2024-07-01 10:54:35,136,198,17657.92225307501,17675.581750076668,6,4,5,2024-06-17 08:36:16,2024-07-06 04:53:38,20,20,0,0,0
1,2024-07-01 16:51:58,2024-07-01 16:52:56,195,117,39118.20193539295,39176.190691406344,71,17,5,2024-06-18 10:08:11,2024-07-08 05:56:25,20,10,0,1,0
3,2024-07-01 07:30:40,2024-07-01 07:31:15,246,13,5440.112760582191,5475.50138225341,66,7,1,2024-06-17 16:49:28,2024-07-06 12:16:20,20,10,1,0,0
1,2024-07-01 14:22:33,2024-07-01 14:23:12,386,45,30153.343148168315,30192.956363743793,56,9,2,2024-06-18 13:48:13,2024-07-05 05:58:43,20,20,0,0,1
1,2024-07-01 07:58:11,2024-07-01 07:59:04,393,30,7091.761805908585,7144.6845431099655,89,23,4,2024-06-19 20:30:47,2024-07-09 08:31:01,20,20,0,0,0
2,2024-07-01 08:28:43,2024-07-01 08:29:04,7,115,8923.397990740043,8944.256629502777,22,3,1,2024-06-20 22:44:48,2024-07-07 15:23:54,20,20,0,0,1
4,2024-07-01 15:29:46,2024-07-01 15:29:48,198,11,34186.835527344374,34188.37370614823,9,20,2,2024-06-19 01:59:17,2024-07-05 04:55:49,10,20,1,0,0
4,2024-07-01 16:50:24,2024-07-01 16:50:58,56,109,39024.719617760165,39058.14182074606,78,12,5,2024-06-19 07:10:10,2024-07-07 22:45:09,20,20,1,0,0
