SatID,gsID,start_time,end_time,TW_index,concat_sat_gs_k,AOSoffset,LOSoffset,duration,Eclipse
FF01,JEJU01,86765.0,87250.0,1.0,FF01_JEJU01_1.0,86765,87250,485.0,1
FF01,JEJU01,92455.0,93065.0,2.0,FF01_JEJU01_2.0,92455,93065,610.0,1
FF01,JEJU01,135150.0,135777.0,3.0,FF01_JEJU01_3.0,135150,135777,627.0,1
FF01,JEJU01,141008.0,141403.0,4.0,FF01_JEJU01_4.0,141008,141403,395.0,1
FF01,SVALBARD01,87651.0,88294.0,1.0,FF01_SVALBARD01_1.0,87651,88294,643.0,1
FF01,SVALBARD01,93421.0,94054.0,2.0,FF01_SVALBARD01_2.0,93421,94054,633.0,1
FF01,SVALBARD01,99178.0,99810.0,3.0,FF01_SVALBARD01_3.0,99178,99810,632.0,1
FF01,SVALBARD01,104936.0,105578.0,4.0,FF01_SVALBARD01_4.0,104936,105578,642.0,1
FF01,SVALBARD01,110713.0,111359.0,5.0,FF01_SVALBARD01_5.0,110713,111359,646.0,1
FF01,SVALBARD01,116531.0,117153.0,6.0,FF01_SVALBARD01_6.0,116531,117153,622.0,1
FF01,SVALBARD01,122404.0,122956.0,7.0,FF01_SVALBARD01_7.0,122404,122956,552.0,1
FF01,SVALBARD01,128338.0,128766.0,8.0,FF01_SVALBARD01_8.0,128338,128766,428.0,1
FF01,SVALBARD01,134323.0,134586.0,9.0,FF01_SVALBARD01_9.0,134323,134586,263.0,1
FF01,SVALBARD01,140302.0,140450.0,10.0,FF01_SVALBARD01_10.0,140302,140450,148.0,1
FF01,SVALBARD01,146165.0,146244.0,11.0,FF01_SVALBARD01_11.0,146165,146244,79.0,1
FF01,SVALBARD01,151985.0,152204.0,12.0,FF01_SVALBARD01_12.0,151985,152204,219.0,1
FF01,SVALBARD01,157795.0,158347.0,13.0,FF01_SVALBARD01_13.0,157795,158347,552.0,1
FF01,SVALBARD01,163598.0,164219.0,14.0,FF01_SVALBARD01_14.0,163598,164219,621.0,1
FF01,SVALBARD01,169392.0,169611.0,15.0,FF01_SVALBARD01_15.0,169392,169611,219.0,1
FF02,JEJU01,88617.0,89220.0,1.0,FF02_JEJU01_1.0,88617,89220,603.0,1
FF02,JEJU01,94450.0,94939.0,2.0,FF02_JEJU01_2.0,94450,94939,489.0,1
