conflic_strip_flag_named,max_Norm_TP,this_flag_norm_TP,max_Norm_GP,this_flag_norm_GP,max_Norm_LPDD,this_flag_norm_LLDD,base_time
FF01_Order 11 - Strip 1_Area 13_1.0,403,403,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF01_Order 22 - Strip 3_Area 21_1.0,568,568,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF01_Order 30 - Strip 0_Area 27_1.0,555,555,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF01_Order 47 - Strip 5_Area 35_1.0,506,506,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF01_Order 57 - Strip 0_Area 36_1.0,725,725,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF01_Order 64 - Strip 3_Area 37_1.0,555,555,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF01_Order 67 - Strip 0_Area 6_1.0,700,700,1000.0,1000.0,908.0010839711589,752.2807943125091,2024-11-13 12:30:44
FF01_Order 71 - Strip 1_Area 8_1.0,420,420,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF02_Order 4 - Strip 3_Area 0_1.0,525,525,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF02_Order 14 - Strip 3_Area 18_1.0,554,554,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF02_Order 28 - Strip 3_Area 24_1.0,401,401,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF02_Order 29 - Strip 0_Area 26_1.0,409,409,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF02_Order 44 - Strip 3_Area 35_1.0,488,488,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF02_Order 46 - Strip 3_Area 35_1.0,542,542,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF02_Order 53 - Strip 3_Area 36_1.0,591,591,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF03_Order 0 - Strip 4_Area 0_1.0,504,504,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF03_Order 9 - Strip 3_Area 13_1.0,404,404,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF03_Order 18 - Strip 1_Area 18_1.0,612,612,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF03_Order 20 - Strip 3_Area 20_1.0,552,552,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF03_Order 23 - Strip 1_Area 23_1.0,491,491,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF03_Order 41 - Strip 1_Area 34_1.0,701,701,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
FF03_Order 45 - Strip 0_Area 35_1.0,485,485,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF03_Order 48 - Strip 1_Area 35_1.0,498,498,750.0,750.0,908.0010839711589,908.0010839711589,2024-11-13 12:30:44
FF03_Order 59 - Strip 3_Area 36_1.0,570,570,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF03_Order 65 - Strip 2_Area 37_1.0,587,587,1000.0,1000.0,752.2807943125091,752.2807943125091,2024-11-13 12:30:44
FF03_Order 72 - Strip 1_Area 8_1.0,403,402,500.0,500.0,1000.0,1000.0,2024-11-13 12:30:44
