SatID,start_time,end_time,gsID,base_time
FF01,2024-11-14 12:36:49,2024-11-14 12:44:54,JEJU01,2024-11-13 12:30:44
FF01,2024-11-14 12:51:35,2024-11-14 13:02:18,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 13:07:41,2024-11-14 13:17:44,JEJU01,2024-11-13 12:30:44
FF02,2024-11-14 13:23:42,2024-11-14 13:34:21,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 13:39:21,2024-11-14 13:50:02,JEJU01,2024-11-13 12:30:44
FF01,2024-11-14 13:51:01,2024-11-14 13:54:32,AWARUA01,2024-11-13 12:30:44
FF03,2024-11-14 13:55:46,2024-11-14 14:06:22,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 14:11:39,2024-11-14 14:21:49,JEJU01,2024-11-13 12:30:44
FF01,2024-11-14 14:27:45,2024-11-14 14:38:18,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 14:44:54,2024-11-14 14:53:03,JEJU01,2024-11-13 12:30:44
FF02,2024-11-14 14:59:46,2024-11-14 15:10:18,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 15:31:47,2024-11-14 15:42:18,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 16:03:42,2024-11-14 16:14:14,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 16:35:42,2024-11-14 16:46:17,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 17:07:42,2024-11-14 17:18:20,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 17:39:40,2024-11-14 17:50:22,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 17:46:17,2024-11-14 17:50:22,MAU01,2024-11-13 12:30:44
FF02,2024-11-14 18:11:44,2024-11-14 18:22:28,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 18:17:06,2024-11-14 18:22:28,MAU01,2024-11-13 12:30:44
FF03,2024-11-14 18:43:51,2024-11-14 18:54:37,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 18:48:46,2024-11-14 18:54:37,MAU01,2024-11-13 12:30:44
FF01,2024-11-14 19:15:57,2024-11-14 19:26:43,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 19:21:08,2024-11-14 19:26:43,MAU01,2024-11-13 12:30:44
