SatID,start_time,end_time,AoiID,StripID,base_time
FF01,2024-11-14 13:23:58,2024-11-14 13:24:14,Area 36,Order 57 - Strip 0,2024-11-13 12:30:44
FF02,2024-11-14 13:55:26,2024-11-14 13:55:42,Area 36,Order 53 - Strip 3,2024-11-13 12:30:44
FF01,2024-11-14 14:59:18,2024-11-14 14:59:34,Area 27,Order 30 - Strip 0,2024-11-13 12:30:44
FF02,2024-11-14 16:56:48,2024-11-14 16:57:04,Area 18,Order 14 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-14 17:28:25,2024-11-14 17:28:42,Area 18,Order 18 - Strip 1,2024-11-13 12:30:44
FF02,2024-11-14 18:26:15,2024-11-14 18:26:40,Area 35,Order 44 - Strip 3,2024-11-13 12:30:44
FF02,2024-11-14 18:29:59,2024-11-14 18:30:15,Area 0,Order 4 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-14 18:57:35,2024-11-14 18:57:54,Area 35,Order 48 - Strip 1,2024-11-13 12:30:44
FF03,2024-11-14 19:01:10,2024-11-14 19:01:27,Area 0,Order 0 - Strip 4,2024-11-13 12:30:44
FF01,2024-11-14 19:29:39,2024-11-14 19:30:13,Area 35,Order 47 - Strip 5,2024-11-13 12:30:44
FF01,2024-11-14 19:33:48,2024-11-14 19:34:03,Area 6,Order 67 - Strip 0,2024-11-13 12:30:44
FF02,2024-11-14 20:02:24,2024-11-14 20:02:59,Area 35,Order 46 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-14 20:35:09,2024-11-14 20:35:21,Area 35,Order 45 - Strip 0,2024-11-13 12:30:44
FF03,2024-11-15 01:51:02,2024-11-15 01:51:26,Area 20,Order 20 - Strip 3,2024-11-13 12:30:44
FF01,2024-11-15 02:25:24,2024-11-15 02:25:40,Area 21,Order 22 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-15 04:53:18,2024-11-15 04:53:35,Area 37,Order 65 - Strip 2,2024-11-13 12:30:44
FF01,2024-11-15 05:25:46,2024-11-15 05:26:02,Area 37,Order 64 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-15 06:28:40,2024-11-15 06:28:57,Area 34,Order 41 - Strip 1,2024-11-13 12:30:44
FF03,2024-11-15 08:18:41,2024-11-15 08:18:57,Area 13,Order 9 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-15 08:21:03,2024-11-15 08:21:20,Area 8,Order 72 - Strip 1,2024-11-13 12:30:44
FF01,2024-11-15 08:49:59,2024-11-15 08:50:16,Area 13,Order 11 - Strip 1,2024-11-13 12:30:44
FF01,2024-11-15 08:53:05,2024-11-15 08:53:37,Area 8,Order 71 - Strip 1,2024-11-13 12:30:44
FF02,2024-11-15 09:08:28,2024-11-15 09:08:38,Area 26,Order 29 - Strip 0,2024-11-13 12:30:44
FF02,2024-11-15 10:44:28,2024-11-15 10:44:44,Area 24,Order 28 - Strip 3,2024-11-13 12:30:44
FF03,2024-11-15 11:25:42,2024-11-15 11:26:14,Area 23,Order 23 - Strip 1,2024-11-13 12:30:44
FF03,2024-11-15 13:10:24,2024-11-15 13:10:40,Area 36,Order 59 - Strip 3,2024-11-13 12:30:44
