concat_SatID_encodedStripId_TWindex,conflicting_strip_oppr,OpportunityStartTime,OpportunityEndTime,StripID,normalized_GlobalPriority,normalized_local_priority_due_date,normalized_Total_Priority,conflic_strip_flag_named,max_Norm_GP,max_Norm_LPDD,max_Norm_TP,this_flag_norm_GP,this_flag_norm_LLDD,this_flag_norm_TP
FF01_Order 10 - Strip 0_Area 13_1.0,"['FF01_Order 10 - Strip 1_Area 13_1.0', 'FF01_Order 10 - Strip 2_Area 13_1.0', 'FF01_Order 11 - Strip 0_Area 13_1.0', 'FF01_Order 11 - Strip 1_Area 13_1.0', 'FF01_Order 11 - Strip 2_Area 13_1.0', 'FF01_Order 71 - Strip 0_Area 8_1.0', 'FF01_Order 71 - Strip 1_Area 8_1.0', 'FF01_Order 71 - Strip 2_Area 8_1.0']",2024-11-15 08:50:54,2024-11-15 08:51:10,Order 10 - Strip 0,500.0,1000.0,403,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 10 - Strip 1_Area 13_1.0,"['FF01_Order 10 - Strip 0_Area 13_1.0', 'FF01_Order 10 - Strip 2_Area 13_1.0', 'FF01_Order 11 - Strip 0_Area 13_1.0', 'FF01_Order 11 - Strip 1_Area 13_1.0', 'FF01_Order 11 - Strip 2_Area 13_1.0', 'FF01_Order 71 - Strip 0_Area 8_1.0', 'FF01_Order 71 - Strip 1_Area 8_1.0', 'FF01_Order 71 - Strip 2_Area 8_1.0']",2024-11-15 08:50:53,2024-11-15 08:51:10,Order 10 - Strip 1,500.0,1000.0,403,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 10 - Strip 2_Area 13_1.0,"['FF01_Order 10 - Strip 0_Area 13_1.0', 'FF01_Order 10 - Strip 1_Area 13_1.0', 'FF01_Order 11 - Strip 0_Area 13_1.0', 'FF01_Order 11 - Strip 1_Area 13_1.0', 'FF01_Order 11 - Strip 2_Area 13_1.0', 'FF01_Order 71 - Strip 0_Area 8_1.0', 'FF01_Order 71 - Strip 1_Area 8_1.0', 'FF01_Order 71 - Strip 2_Area 8_1.0']",2024-11-15 08:50:51,2024-11-15 08:51:09,Order 10 - Strip 2,500.0,1000.0,402,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 11 - Strip 0_Area 13_1.0,"['FF01_Order 10 - Strip 0_Area 13_1.0', 'FF01_Order 10 - Strip 1_Area 13_1.0', 'FF01_Order 10 - Strip 2_Area 13_1.0', 'FF01_Order 11 - Strip 1_Area 13_1.0', 'FF01_Order 11 - Strip 2_Area 13_1.0']",2024-11-15 08:50:00,2024-11-15 08:50:16,Order 11 - Strip 0,500.0,1000.0,402,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 11 - Strip 1_Area 13_1.0,"['FF01_Order 10 - Strip 0_Area 13_1.0', 'FF01_Order 10 - Strip 1_Area 13_1.0', 'FF01_Order 10 - Strip 2_Area 13_1.0', 'FF01_Order 11 - Strip 0_Area 13_1.0', 'FF01_Order 11 - Strip 2_Area 13_1.0']",2024-11-15 08:49:59,2024-11-15 08:50:16,Order 11 - Strip 1,500.0,1000.0,403,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 11 - Strip 2_Area 13_1.0,"['FF01_Order 10 - Strip 0_Area 13_1.0', 'FF01_Order 10 - Strip 1_Area 13_1.0', 'FF01_Order 10 - Strip 2_Area 13_1.0', 'FF01_Order 11 - Strip 0_Area 13_1.0', 'FF01_Order 11 - Strip 1_Area 13_1.0']",2024-11-15 08:49:58,2024-11-15 08:50:15,Order 11 - Strip 2,500.0,1000.0,402,FF01_Order 11 - Strip 1_Area 13_1.0,500.0,1000.0,403,500.0,1000.0,403
FF01_Order 21 - Strip 0_Area 20_1.0,"['FF01_Order 22 - Strip 0_Area 21_1.0', 'FF01_Order 22 - Strip 1_Area 21_1.0', 'FF01_Order 22 - Strip 2_Area 21_1.0', 'FF01_Order 22 - Strip 3_Area 21_1.0']",2024-11-15 02:23:12,2024-11-15 02:23:28,Order 21 - Strip 0,1000.0,752.2807943125091,552,FF01_Order 22 - Strip 3_Area 21_1.0,1000.0,752.2807943125091,568,1000.0,752.2807943125091,568
FF01_Order 22 - Strip 0_Area 21_1.0,"['FF01_Order 21 - Strip 0_Area 20_1.0', 'FF01_Order 22 - Strip 1_Area 21_1.0', 'FF01_Order 22 - Strip 2_Area 21_1.0', 'FF01_Order 22 - Strip 3_Area 21_1.0']",2024-11-15 02:25:26,2024-11-15 02:25:42,Order 22 - Strip 0,1000.0,752.2807943125091,555,FF01_Order 22 - Strip 3_Area 21_1.0,1000.0,752.2807943125091,568,1000.0,752.2807943125091,568
FF01_Order 22 - Strip 1_Area 21_1.0,"['FF01_Order 21 - Strip 0_Area 20_1.0', 'FF01_Order 22 - Strip 0_Area 21_1.0', 'FF01_Order 22 - Strip 2_Area 21_1.0', 'FF01_Order 22 - Strip 3_Area 21_1.0']",2024-11-15 02:25:25,2024-11-15 02:25:42,Order 22 - Strip 1,1000.0,752.2807943125091,556,FF01_Order 22 - Strip 3_Area 21_1.0,1000.0,752.2807943125091,568,1000.0,752.2807943125091,568
FF01_Order 22 - Strip 2_Area 21_1.0,"['FF01_Order 21 - Strip 0_Area 20_1.0', 'FF01_Order 22 - Strip 0_Area 21_1.0', 'FF01_Order 22 - Strip 1_Area 21_1.0', 'FF01_Order 22 - Strip 3_Area 21_1.0']",2024-11-15 02:25:24,2024-11-15 02:25:41,Order 22 - Strip 2,1000.0,752.2807943125091,567,FF01_Order 22 - Strip 3_Area 21_1.0,1000.0,752.2807943125091,568,1000.0,752.2807943125091,568
